"Condition","Education","Gender","Age","Party.General","Party.Closer","BF1","BF2","BF3","BF4","BF5","BF6","BF7","BF8","BF9","BF10","BF11","BF12","BF13","BF14","BF15","BF16","BF17","BF18","BF19","BF20","BF21","BF22","BF23","BF24","BF25","BF26","BF27","BF28","BF29","BF30","BF31","BF32","S_1","S_2","S_3","S_4","S_5","S_6","S_7","S_8","S_9","S_10","S_11","S_12","S_13","S_14","S_15","S_16","S_17","S_18","S_19","S_20","S_21","S_22","S_23","S_24","S_25","S_26","S_27","S_28","S_29","S_30","S_31","S_32","BPre_1","BPre_2","BPre_3","BPre_4","BPre_5","BPre_6","BPre_7","BPre_8","BPre_9","BPre_10","BPre_11","BPre_12","BPre_13","BPre_14","BPre_15","BPre_16","BPre_17","BPre_18","BPre_19","BPre_20","BPre_21","BPre_22","BPre_23","BPre_24","BPre_25","BPre_26","BPre_27","BPre_28","BPre_29","BPre_30","BPre_31","BPre_32","BImm_1","BImm_2","BImm_3","BImm_4","BImm_5","BImm_6","BImm_7","BImm_8","BImm_9","BImm_10","BImm_11","BImm_12","BImm_13","BImm_14","BImm_15","BImm_16","BImm_17","BImm_18","BImm_19","BImm_20","BImm_21","BImm_22","BImm_23","BImm_24","BImm_25","BImm_26","BImm_27","BImm_28","BImm_29","BImm_30","BImm_31","BImm_32","BMonth_1","BMonth_2","BMonth_3","BMonth_4","BMonth_5","BMonth_6","BMonth_7","BMonth_8","BMonth_9","BMonth_10","BMonth_11","BMonth_12","BMonth_13","BMonth_14","BMonth_15","BMonth_16","BMonth_17","BMonth_18","BMonth_19","BMonth_20","BMonth_21","BMonth_22","BMonth_23","BMonth_24","BMonth_25","BMonth_26","BMonth_27","BMonth_28","BMonth_29","BMonth_30","BMonth_31","BMonth_32","MImm_1","MImm_2","MImm_3","MImm_4","MImm_5","MImm_6","MImm_7","MImm_8","MImm_9","MImm_10","MImm_11","MImm_12","MImm_13","MImm_14","MImm_15","MImm_16","MImm_17","MImm_18","MImm_19","MImm_20","MImm_21","MImm_22","MImm_23","MImm_24","MImm_25","MImm_26","MImm_27","MImm_28","MImm_29","MImm_30","MImm_31","MImm_32","MMonth_1","MMonth_2","MMonth_3","MMonth_4","MMonth_5","MMonth_6","MMonth_7","MMonth_8","MMonth_9","MMonth_10","MMonth_11","MMonth_12","MMonth_13","MMonth_14","MMonth_15","MMonth_16","MMonth_17","MMonth_18","MMonth_19","MMonth_20","MMonth_21","MMonth_22","MMonth_23","MMonth_24","MMonth_25","MMonth_26","MMonth_27","MMonth_28","MMonth_29","MMonth_30","MMonth_31","MMonth_32","S_1.1","S_2.1","S_3.1","S_4.1","S_5.1","S_6.1","S_7.1","S_8.1","S_9.1","S_10.1","S_11.1","S_12.1","S_13.1","S_14.1","S_15.1","S_16.1","S_17.1","S_18.1","S_19.1","S_20.1","S_21.1","S_22.1","S_23.1","S_24.1","S_25.1","S_26.1","S_27.1","S_28.1","S_29.1","S_30.1","S_31.1","S_32.1"
2,3,1,32,"Other Party","Closer to the Democratic Party",3,3,3,2,4,4,0,6,3,2,0,4,2,6,2,4,6,1,1,5,1,0,5,4,5,0,2,6,1,5,1,0,1,2,3,3,1,3,5,8,3,6,1,1,2,2,2,5,0,1,7,6,4,7,0,1,1,4,1,0,4,1,3,8,2,3,6,5,2,4,5,9,4,6,5,3,5,3,5,7,9,7,6,8,5,5,9,7,9,5,7,9,6,8,5,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,10,10,10,10,10,10,10,10,10,5,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,2,1,0,0,0,0,0,5,0,0,0,0,0,0,3,10,9,10,10,10,10,10,10,10,5,10,10,10,10,9,10,1,2,3,3,1,3,5,8,3,6,1,1,2,2,2,5,0,1,7,6,4,7,0,1,1,4,1,0,4,1,3,8
2,6,2,30,"Democrat","",8,7,10,4,4,7,3,1,6,8,0,5,2,7,8,0,0,2,7,6,5,7,0,4,0,0,7,8,3,2,8,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,10,7,8,9,8,8,9,10,10,8,9,9,9,10,10,10,6,6,10,6,2,7,2,0,5,5,0,4,1,7,10,1,1,2,9,5,3,6,0,3,0,1,8,7,3,1,8,0,3,0,0,2,9,9,7,6,6,0,8,0,9,1,0,0,9,7,10,8,9,7,9,10,9,9,8,7,9,10,10,9,7,8,8,9,2,1,7,6,9,1,8,0,8,8,8,1,2,1,8,7,1,1,2,2,7,8,9,1,6,9,7,6,7,1,0,3,1,2,5,3,9,0,10,0,2,0,1,1,10,3,10,9,8,8,1,9,10,10,10,8,10,8,10,10,6,2,8,8,2,7,7,9,1,3,1,2,2,1,1,2,2,1,8,7,1,5,7,1,2,7,2,6,7,1,7,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,10,7,8,9,8,8,9,10,10,8,9,9,9,10,10,10
2,5,1,69,"Democrat","",4,5,4,3,4,4,2,3,6,2,3,3,4,4,4,3,4,3,4,3,3,3,3,5,4,3,2,4,3,6,4,6,1,2,2,2,5,2,8,1,6,0,2,4,6,1,3,4,1,1,1,2,1,0,1,1,0,6,1,0,2,0,1,0,4,6,6,5,6,8,5,6,8,4,6,8,9,6,8,6,7,6,6,6,6,7,6,6,10,5,6,8,6,8,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,6,0,2,0,8,8,6,0,0,0,0,0,6,7,8,10,8,10,8,10,8,10,10,10,2,10,10,8,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,8,0,0,0,10,10,6,0,0,0,0,0,6,8,10,10,10,10,10,10,10,10,10,10,2,10,10,10,8,10,1,2,2,2,5,2,8,1,6,0,2,4,6,1,3,4,1,1,1,2,1,0,1,1,0,6,1,0,2,0,1,0
2,5,2,58,"Independent","Closer to the Democratic Party",0,1,2,2,1,1,0,1,3,0,0,1,1,2,7,0,3,1,0,2,2,1,2,5,2,0,4,1,3,1,1,2,3,7,8,6,0,9,4,4,8,3,2,3,4,0,10,0,1,3,7,1,0,1,1,0,0,5,0,3,1,0,6,3,5,6,7,6,2,9,5,5,7,5,5,3,5,2,9,1,7,6,5,7,6,7,7,10,10,5,9,6,7,9,5,6,5,6,6,6,1,6,5,5,6,2,5,1,2,2,7,1,7,6,5,7,9,7,7,10,10,2,9,7,7,9,4,5,6,7,7,5,0,6,5,0,7,2,2,1,3,0,7,1,8,9,5,8,9,10,10,10,10,5,10,10,8,9,5,7,7,1,1,1,0,1,10,1,0,0,0,0,1,1,1,0,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,8,6,6,5,0,3,5,0,6,1,1,1,0,0,5,2,8,9,6,9,10,10,10,10,10,5,9,10,7,10,6,7,3,7,8,6,0,9,4,4,8,3,2,3,4,0,10,0,1,3,7,1,0,1,1,0,0,5,0,3,1,0,6,3
2,2,2,22,"Democrat","",4,8,3,3,1,3,1,8,10,6,2,1,0,4,8,4,6,4,0,4,1,7,1,6,7,2,4,9,8,6,1,8,1,9,9,8,2,6,9,10,8,8,7,0,0,0,9,9,0,0,7,0,10,9,7,0,0,1,0,0,0,0,7,0,2,8,8,7,2,5,6,10,10,8,6,2,1,1,10,6,8,8,5,10,0,2,3,8,10,6,9,10,10,10,5,8,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,10,10,9,10,9,9,7,10,10,10,10,10,10,10,9,10,0,0,7,0,0,0,1,0,2,0,2,0,0,0,3,1,9,8,8,9,9,10,8,9,10,10,9,10,7,10,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,1,8,0,2,0,0,0,0,0,0,1,1,0,0,0,5,6,5,9,5,10,10,9,10,10,5,10,4,10,10,10,1,9,9,8,2,6,9,10,8,8,7,0,0,0,9,9,0,0,7,0,10,9,7,0,0,1,0,0,0,0,7,0
2,6,1,48,"Democrat","",3,3,3,3,3,2,2,5,5,3,1,1,4,2,3,2,5,3,2,6,4,5,2,6,2,4,2,5,4,0,5,3,0,2,6,1,0,4,4,8,7,4,0,0,0,4,6,3,1,0,8,7,1,2,8,0,2,1,7,1,4,6,2,2,1,3,6,3,0,5,5,8,7,6,5,2,2,5,6,5,8,7,4,3,8,6,1,10,6,7,3,7,6,5,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,5,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,10,5,10,10,10,10,10,10,10,10,10,10,10,10,10,0,2,6,1,0,4,4,8,7,4,0,0,0,4,6,3,1,0,8,7,1,2,8,0,2,1,7,1,4,6,2,2
2,5,2,25,"Independent","Closer to the Republican Party",6,7,10,0,8,1,2,0,6,9,1,4,8,9,2,2,5,1,2,2,1,7,9,9,10,2,8,7,2,0,1,6,9,10,9,10,4,0,9,2,6,7,9,1,1,10,8,8,8,8,6,6,9,6,1,0,0,4,10,0,2,10,10,9,8,5,9,10,7,5,8,5,5,7,9,5,5,9,8,5,7,5,7,8,5,8,7,10,10,8,5,10,10,1,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,4,9,5,5,5,5,2,9,8,5,8,5,10,5,7,5,5,8,8,8,9,10,10,10,9,9,10,10,4,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,0,4,9,8,5,5,5,2,8,8,5,7,5,9,5,8,5,5,8,9,8,8,10,10,10,8,9,10,10,5,8,7,9,10,9,10,4,0,9,2,6,7,9,1,1,10,8,8,8,8,6,6,9,6,1,0,0,4,10,0,2,10,10,9
2,5,2,23,"Democrat","",1,0,0,0,4,7,0,5,8,0,0,7,2,6,10,7,5,0,0,9,10,0,10,9,1,0,1,0,0,2,8,0,7,0,2,0,0,0,0,8,5,0,0,0,0,0,0,2,0,7,2,0,0,2,0,0,0,8,1,4,0,0,0,10,8,3,7,5,2,0,5,9,8,1,3,3,10,2,9,7,8,2,5,10,10,7,10,9,10,4,7,6,8,10,9,4,5,1,4,1,0,0,5,5,1,1,5,0,2,1,9,8,9,5,8,10,10,7,10,10,10,5,9,8,9,10,10,5,2,1,2,5,1,1,5,2,3,2,2,5,5,1,9,8,9,5,9,10,9,5,10,9,9,5,5,5,9,10,5,5,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,5,1,5,1,0,5,1,1,1,1,5,1,1,1,1,9,5,5,9,5,4,10,5,9,5,5,5,9,9,5,5,7,0,2,0,0,0,0,8,5,0,0,0,0,0,0,2,0,7,2,0,0,2,0,0,0,8,1,4,0,0,0,10
2,5,1,25,"Independent","Closer to the Democratic Party",9,7,6,1,7,3,6,6,9,9,7,7,7,4,6,3,10,3,6,7,1,3,2,8,8,3,9,9,10,1,6,7,7,1,8,9,0,10,1,10,8,10,7,7,3,3,10,7,1,6,9,2,8,1,10,6,0,8,1,1,0,5,9,8,8,6,7,6,5,9,4,10,8,7,5,7,1,3,8,9,7,5,7,8,6,10,0,7,10,6,8,7,10,7,3,6,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,5,5,7,1,3,2,2,10,5,5,0,1,5,8,10,8,3,10,10,10,10,8,10,10,7,10,10,10,10,6,10,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,3,2,7,0,3,0,0,9,2,10,0,0,5,8,10,10,5,10,10,8,10,9,10,10,6,10,7,8,10,4,10,7,1,8,9,0,10,1,10,8,10,7,7,3,3,10,7,1,6,9,2,8,1,10,6,0,8,1,1,0,5,9,8
2,5,1,37,"Independent","Closer to the Republican Party",5,5,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,5,10,9,5,5,5,8,5,9,5,8,6,8,5,5,5,3,5,8,6,3,6,6,5,5,4,9,3,8,6,3,10,5,10,10,0,5,5,10,0,10,5,10,5,10,10,5,5,10,10,5,10,10,10,10,10,10,10,8,10,5,5,10,2,5,10,0,0,2,5,2,0,2,0,2,2,5,5,0,3,10,10,10,10,10,10,10,10,10,10,10,10,10,8,10,0,5,0,1,1,0,5,9,1,0,0,0,5,0,7,1,9,5,8,9,10,10,6,8,10,10,6,4,9,7,5,10,10,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,1,1,1,0,1,6,6,1,0,0,1,1,1,8,0,7,5,7,8,9,10,6,5,10,7,7,5,7,6,6,10,8,5,10,9,5,5,5,8,5,9,5,8,6,8,5,5,5,3,5,8,6,3,6,6,5,5,4,9,3,8,6,3
2,2,1,21,"Democrat","",2,3,8,2,3,10,5,3,10,3,0,5,0,10,5,0,5,0,10,10,5,10,3,10,10,10,2,10,5,10,4,3,5,5,10,10,1,5,10,10,10,10,0,10,5,10,7,0,2,10,10,0,10,2,10,10,0,0,10,0,0,0,2,2,6,6,8,8,3,5,10,8,10,10,3,7,5,10,7,0,6,3,5,10,5,8,3,5,10,10,5,10,10,10,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,7,0,0,5,10,0,0,5,0,0,5,0,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,5,0,0,5,5,0,0,5,0,10,5,5,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,5,5,5,10,10,1,5,10,10,10,10,0,10,5,10,7,0,2,10,10,0,10,2,10,10,0,0,10,0,0,0,2,2
2,3,1,21,"Republican","",0,5,7,2,2,1,5,4,6,4,1,2,1,5,0,6,5,5,4,8,1,2,3,6,9,0,2,8,3,8,3,5,3,7,8,7,0,4,7,1,7,0,5,8,6,10,2,7,8,1,1,0,10,6,7,0,0,10,1,5,0,0,1,1,5,7,8,6,0,5,7,3,4,1,5,6,5,8,6,7,3,8,7,10,2,3,6,8,10,2,7,8,8,10,6,7,8,2,2,0,0,0,0,9,8,0,0,0,2,3,0,3,8,10,7,10,8,10,7,10,10,9,8,10,9,10,7,10,5,6,0,5,0,5,2,1,8,1,3,1,5,10,5,7,7,8,8,8,1,8,0,8,10,10,8,10,5,10,7,10,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,10,10,10,10,10,5,10,10,10,8,10,10,10,6,10,5,5,0,0,0,5,1,0,8,0,5,0,5,7,1,5,9,10,5,9,8,10,0,10,10,10,7,10,8,10,5,10,3,7,8,7,0,4,7,1,7,0,5,8,6,10,2,7,8,1,1,0,10,6,7,0,0,10,1,5,0,0,1,1
2,5,2,43,"Democrat","",9,7,8,0,3,2,8,9,10,5,1,3,2,9,4,0,6,5,7,8,0,7,6,9,8,0,8,1,7,10,2,5,10,9,9,0,0,9,4,0,7,0,0,8,0,7,6,5,0,0,0,0,7,0,0,1,0,10,3,0,0,0,7,2,8,7,8,2,5,7,5,3,10,5,5,5,4,9,5,2,7,6,9,8,5,9,7,8,10,4,8,5,10,9,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,1,0,0,0,3,0,10,0,0,0,0,10,7,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,5,0,0,0,0,5,0,5,0,0,5,0,10,5,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,0,0,9,4,0,7,0,0,8,0,7,6,5,0,0,0,0,7,0,0,1,0,10,3,0,0,0,7,2
2,3,2,64,"Democrat","",0,2,10,0,10,1,0,6,9,0,0,0,10,5,4,0,0,0,2,1,0,4,0,10,2,0,10,0,2,0,7,9,0,1,0,0,0,0,0,1,2,0,0,0,8,0,5,0,0,4,0,0,0,0,0,0,0,5,0,0,0,9,0,0,5,7,0,5,9,0,5,8,10,5,5,5,10,5,5,5,5,5,9,10,4,5,5,10,5,5,10,10,5,2,6,9,0,5,0,0,10,0,5,1,4,0,0,0,10,0,5,0,9,10,10,10,10,10,8,10,5,9,10,10,9,8,10,9,5,5,0,0,10,0,5,5,10,0,5,3,10,1,6,3,2,5,9,8,10,5,5,10,8,8,10,10,5,7,7,10,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,1,0,0,5,0,5,1,5,0,5,5,5,0,1,5,0,5,9,5,10,5,5,5,5,10,5,10,2,10,5,5,0,1,0,0,0,0,0,1,2,0,0,0,8,0,5,0,0,4,0,0,0,0,0,0,0,5,0,0,0,9,0,0
2,6,2,28,"Democrat","",7,5,3,2,6,5,2,3,8,7,0,5,5,9,9,3,1,3,2,6,7,3,9,6,10,2,5,9,3,4,4,7,0,0,0,1,0,0,4,2,8,2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,1,2,7,0,3,6,6,10,9,5,0,0,1,10,5,7,9,7,10,10,8,9,10,10,7,9,10,10,9,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,1,0,0,4,2,8,2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
2,5,1,54,"Independent","Closer to the Republican Party",2,10,6,2,10,3,2,5,7,3,2,7,6,8,8,6,7,4,6,8,0,5,6,6,6,0,8,7,7,0,4,8,4,10,9,0,10,7,7,1,7,7,5,8,10,9,10,8,8,1,1,0,3,7,7,1,0,2,0,0,0,7,1,1,5,10,8,1,10,6,7,3,7,6,7,9,8,8,8,8,1,5,6,8,6,3,0,6,0,5,10,6,9,5,6,9,0,9,8,0,10,8,0,1,5,1,5,8,9,8,10,9,1,9,9,10,9,9,9,10,10,10,10,10,10,7,10,10,5,3,6,2,8,7,5,6,8,6,5,7,8,6,7,6,2,5,7,8,5,8,7,6,5,4,7,7,8,6,5,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,5,5,5,8,7,5,5,5,5,5,5,5,5,4,10,9,0,10,7,7,1,7,7,5,8,10,9,10,8,8,1,1,0,3,7,7,1,0,2,0,0,0,7,1,1
2,3,1,30,"Republican","",1,2,8,0,0,6,2,6,2,0,0,3,2,1,1,0,2,5,6,4,0,1,1,5,8,3,0,6,4,7,2,7,0,3,10,0,0,6,7,9,4,2,1,9,7,2,7,0,2,0,4,1,10,8,8,1,0,6,7,4,1,2,6,8,4,3,10,5,2,5,7,9,7,6,5,9,8,3,7,2,6,9,8,8,1,4,2,7,10,7,5,9,9,9,6,7,1,3,8,0,1,0,1,6,3,0,0,3,7,1,3,0,8,10,10,9,7,10,9,10,10,8,7,9,10,10,7,9,8,3,8,1,3,1,3,6,8,0,2,1,8,2,3,2,3,9,10,10,4,9,8,9,10,7,8,9,10,10,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,0,3,10,0,0,6,7,9,4,2,1,9,7,2,7,0,2,0,4,1,10,8,8,1,0,6,7,4,1,2,6,8
2,5,2,62,"Independent","Closer to the Republican Party",2,2,3,0,6,5,2,4,3,3,1,0,9,4,2,5,8,9,5,6,4,2,2,4,10,2,5,4,1,7,5,3,0,8,1,0,0,9,8,10,0,8,3,8,0,0,9,2,5,0,1,0,0,4,0,2,0,1,0,2,8,0,0,0,0,8,2,1,0,10,8,10,2,10,5,7,0,0,9,3,5,10,9,9,10,6,10,7,10,8,10,8,3,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,1,0,0,0,1,2,2,2,1,7,0,0,0,6,0,9,10,10,10,10,10,10,10,10,10,10,8,10,10,9,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,5,0,4,0,0,0,5,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,6,10,0,8,1,0,0,9,8,10,0,8,3,8,0,0,9,2,5,0,1,0,0,4,0,2,0,1,0,2,8,0,0,0
2,3,1,52,"Republican","",9,7,8,4,6,5,1,8,7,0,1,3,0,6,6,2,6,10,3,6,4,8,6,9,4,0,0,8,7,8,3,1,0,7,6,0,3,8,0,10,2,0,2,2,1,8,7,0,3,0,5,2,2,0,0,1,0,8,9,0,4,0,4,3,0,8,10,0,5,9,2,10,9,0,4,2,1,7,9,0,8,10,6,8,7,10,10,7,10,0,1,10,5,10,5,3,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,9,10,10,10,10,10,0,10,10,10,10,9,10,10,0,0,0,10,0,10,0,9,0,2,0,0,0,0,0,7,10,10,10,10,10,10,10,10,10,9,10,10,10,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,5,10,10,10,0,10,0,7,6,0,3,8,0,10,2,0,2,2,1,8,7,0,3,0,5,2,2,0,0,1,0,8,9,0,4,0,4,3
2,2,2,29,"Republican","",1,2,2,2,0,1,2,1,0,1,4,1,1,1,1,2,0,3,3,3,4,2,2,1,0,2,2,0,3,2,0,0,10,2,10,4,0,7,2,9,5,8,0,6,10,3,8,0,10,7,6,1,2,0,6,0,0,0,0,0,2,0,10,10,8,5,8,6,0,7,6,9,5,7,2,7,9,2,9,6,0,5,4,7,6,9,2,8,9,7,6,10,7,7,0,0,7,5,10,4,0,6,3,7,0,6,0,7,10,3,6,0,0,6,4,8,7,10,6,10,10,8,10,10,7,8,0,0,2,1,1,2,0,2,1,7,1,2,1,2,7,4,7,3,8,7,8,9,7,9,6,7,8,2,10,10,8,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,2,1,2,1,1,1,0,4,2,1,9,1,5,3,4,1,2,7,7,8,7,9,6,6,8,1,9,10,8,7,6,0,10,2,10,4,0,7,2,9,5,8,0,6,10,3,8,0,10,7,6,1,2,0,6,0,0,0,0,0,2,0,10,10
2,4,1,23,"Independent","Neither",5,5,3,2,7,5,7,5,5,4,5,5,5,5,8,6,6,4,4,6,5,6,6,8,10,6,4,6,4,3,6,2,8,8,9,7,5,4,6,4,6,6,3,3,9,5,4,10,9,7,9,7,6,7,8,7,7,5,9,5,2,7,4,9,6,6,5,5,5,6,6,6,6,6,6,6,6,6,8,6,6,6,6,4,6,6,7,6,9,7,7,6,5,7,3,4,4,4,6,3,4,4,7,3,6,5,7,6,7,4,6,5,7,2,7,4,4,6,4,7,5,6,6,5,8,4,7,4,7,5,3,5,3,5,6,7,6,5,5,4,9,3,5,5,6,4,6,5,2,2,5,6,4,0,5,2,3,5,3,2,4,3,7,5,7,6,6,6,6,5,7,5,6,5,5,6,7,6,5,6,3,6,5,5,6,7,6,6,7,6,3,7,3,4,6,2,7,8,6,4,4,4,5,5,6,5,5,6,5,7,5,6,4,3,3,6,4,5,6,4,7,3,3,7,8,8,9,7,5,4,6,4,6,6,3,3,9,5,4,10,9,7,9,7,6,7,8,7,7,5,9,5,2,7,4,9
2,4,2,35,"Democrat","",1,4,10,0,5,6,0,7,3,0,1,9,0,5,7,5,0,5,0,0,1,0,4,8,10,0,0,5,7,0,0,0,5,5,5,4,9,3,0,10,10,10,10,8,1,9,10,8,10,0,0,9,10,1,10,0,1,9,0,0,0,10,1,10,5,9,8,5,5,6,5,10,8,7,5,10,5,5,8,8,5,8,8,5,5,5,5,8,10,5,5,5,9,4,5,5,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,5,0,0,10,10,8,5,5,10,7,1,10,5,5,10,8,5,0,6,10,10,10,5,10,10,10,10,10,7,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,10,5,5,10,10,5,5,5,6,10,5,5,10,5,5,5,5,5,5,5,10,10,10,10,5,10,10,5,10,5,5,5,5,4,9,3,0,10,10,10,10,8,1,9,10,8,10,0,0,9,10,1,10,0,1,9,0,0,0,10,1,10
2,5,1,30,"Independent","Neither",5,4,9,9,6,5,2,2,4,1,1,5,6,8,9,3,5,2,1,7,0,5,0,4,9,1,3,10,7,3,2,5,3,3,2,1,4,1,4,1,1,4,3,3,1,2,2,3,3,2,8,4,10,4,10,4,2,10,7,0,6,9,5,5,5,6,7,7,7,3,5,1,6,3,1,7,7,8,8,6,7,2,2,6,0,6,0,6,9,1,4,9,6,4,4,7,5,6,7,9,9,1,3,3,4,4,5,8,7,8,6,6,6,1,2,8,2,6,1,4,10,2,8,10,8,1,4,9,5,5,7,7,7,2,3,6,5,3,2,7,4,3,5,8,3,3,3,7,2,7,0,8,10,2,8,10,9,2,7,9,0,5,7,10,0,0,0,5,5,0,0,0,0,0,0,0,10,3,10,7,10,10,10,10,10,10,6,10,7,10,10,10,6,8,7,3,2,1,1,3,5,1,0,8,3,1,3,6,3,2,7,6,9,9,3,9,10,2,7,10,10,2,9,10,3,3,2,1,4,1,4,1,1,4,3,3,1,2,2,3,3,2,8,4,10,4,10,4,2,10,7,0,6,9,5,5
